Age,Final_Weight,Education_Num,Capital_Gain,Capital_Loss,Hours_per_Week,Workclass_ Private,Education_ Assoc-acdm,Education_ Assoc-voc,Education_ Bachelors,Education_ Doctorate,Education_ HS-grad,Education_ Masters,Education_ Some-college,Marital_Status_ Married-civ-spouse,Occupation_ Adm-clerical,Occupation_ Craft-repair,Occupation_ Exec-managerial,Occupation_ Machine-op-inspct,Occupation_ Other-service,Occupation_ Prof-specialty,Occupation_ Sales,Occupation_ Transport-moving,Relationship_ Husband,Relationship_ Not-in-family,Relationship_ Other-relative,Relationship_ Own-child,Relationship_ Unmarried,Relationship_ Wife,Race_ White,Sex_ Male,Native_Country_ United-States,Class_ >50K
0.3013698630136986,0.04696953690720857,0.8,0.021740217402174022,0.0,0.3917525773195876,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
0.589041095890411,0.017630082784318997,0.6666666666666666,0.0,0.0,0.4536082474226804,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
0.3835616438356164,0.2164068852480008,0.8,0.0,0.0,0.4742268041237113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
0.1232876712328767,0.02680646524403127,0.8,0.0,0.0,0.5979381443298969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
0.2465753424657534,0.006867481064607623,0.6,0.0,0.0,0.3917525773195876,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0
0.2328767123287671,0.21680784178143148,0.4,0.0,0.0,0.3917525773195876,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
0.0136986301369863,0.13213398510778607,0.5333333333333333,0.0,0.0,0.10309278350515463,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
0.1506849315068493,0.028343865445069755,0.5333333333333333,0.0,0.0,0.5979381443298969,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
0.410958904109589,0.11652229030213396,0.5333333333333333,0.0,0.0,0.422680412371134,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0.5205479452054794,0.10023433148301097,0.8,0.0,0.0,0.16494845360824742,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
0.4657534246575342,0.08363104956174891,0.9333333333333333,0.0,0.0,0.3917525773195876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
0.1917808219178082,0.28379479348737746,0.26666666666666666,0.0,0.0,0.422680412371134,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
0.0547945205479452,0.14967203196127768,0.6,0.0,0.0,0.23711340206185566,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0.2054794520547945,0.166231296698231,0.5333333333333333,0.0,0.0,0.3917525773195876,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
0.2054794520547945,0.17121804352419184,0.6,0.0,0.0,0.3917525773195876,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0.5616438356164384,0.08371988424280839,0.8,0.07688076880768807,0.0,0.4948453608247423,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
0.1643835616438356,0.07695404285833189,0.8,0.0,0.0,0.3917525773195876,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
0.1917808219178082,0.27054962257265236,0.5333333333333333,0.05013050130501305,0.0,0.3917525773195876,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
