Age,Final_Weight,Education_Num,Capital_Gain,Capital_Loss,Hours_per_Week,Workclass_ Private,Education_ Assoc-acdm,Education_ Assoc-voc,Education_ Bachelors,Education_ Doctorate,Education_ HS-grad,Education_ Masters,Education_ Some-college,Marital_Status_ Married-civ-spouse,Occupation_ Adm-clerical,Occupation_ Craft-repair,Occupation_ Exec-managerial,Occupation_ Machine-op-inspct,Occupation_ Other-service,Occupation_ Prof-specialty,Occupation_ Sales,Occupation_ Transport-moving,Relationship_ Husband,Relationship_ Not-in-family,Relationship_ Other-relative,Relationship_ Own-child,Relationship_ Unmarried,Relationship_ Wife,Race_ White,Sex_ Male
0.3013698630136986,0.03972559084429334,0.8,0.021740217402174022,0.0,0.3979591836734694,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0.4520547945205479,0.09241553347440942,0.6,0.0,0.0,0.3979591836734694,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0.1095890410958904,0.07936451610922046,0.5333333333333333,0.0,0.0,0.3979591836734694,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0.5753424657534246,0.05043595516045757,0.8,0.0,0.0,0.21428571428571427,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0.1780821917808219,0.1491746638979175,0.6,0.0,0.0,0.3979591836734694,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.2602739726027397,0.2666379146214386,0.8,0.0,0.4331955922865014,0.3979591836734694,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
0.2465753424657534,0.2830702543941837,0.5333333333333333,0.0,0.0,0.3979591836734694,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0.2328767123287671,0.026016051557148444,0.8,0.0,0.0,0.4489795918367347,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0.6027397260273972,0.042032123586480986,0.5333333333333333,0.0,0.0,0.4489795918367347,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0.2054794520547945,0.07409088148447901,0.8,0.0,0.0,0.3979591836734694,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.2602739726027397,0.2507323923862583,0.8666666666666667,0.0,0.45385674931129477,0.4387755102040816,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0.2328767123287671,0.034914627580262904,0.6666666666666666,0.0,0.0,0.3979591836734694,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
